audio_path,azimuth_deg,distance_m,pos_x,pos_y,pos_z,snr_db,ambient_noise_db,rt60,room_dimension
/home/ay/Documents/dataset/session_1775031095_6567ab/sample_00000.wav,7.803374894248845,4.777161848238897,7.9,3.648614039505414,1.5,0,30,0.3,"(8, 6, 3)"
/home/ay/Documents/dataset/session_1775040370_c66466/sample_00003.wav,160.7093071986403,2.9396760290195627,0.1,3.471154536441273,1.5,30,0,0.3,"(5, 5, 3)"
/home/ay/Documents/dataset/session_1775041090_bf9ae0/sample_00002.wav,127.4954111201369,4.503686575909642,1.2586154995859493,5.9,1.5,15,0,0.7,"(8, 6, 3)"
/home/ay/Documents/dataset/session_1775030397_977974/sample_00004.wav,323.44553690351336,2.7448040940646345,7.20487665217715,3.365231373105643,2.5,30,15,0.7,"(10, 10, 5)"
/home/ay/Documents/dataset/session_1775030835_a789cf/sample_00001.wav,274.4101308477523,2.613689184809862,2.700980472659034,0.1,1.5,30,30,0.5,"(5, 5, 3)"
/home/ay/Documents/dataset/session_1775029902_2a7f64/sample_00002.wav,332.89931097005564,2.524101927822198,4.746974028313867,1.3501311996063663,1.5,0,30,0.7,"(5, 5, 3)"
/home/ay/Documents/dataset/session_1775041650_9ad9f0/sample_00001.wav,310.38054654511166,3.2379663717598692,4.597753106257201,0.1,1.5,0,0,0.3,"(5, 5, 3)"
/home/ay/Documents/dataset/session_1775030471_a1bd6f/sample_00000.wav,183.5055840938319,2.402349336398256,0.10214583435977742,2.353106384022407,1.5,0,30,0.7,"(5, 5, 3)"
/home/ay/Documents/dataset/session_1775032333_b0e4fe/sample_00000.wav,95.11085751638541,4.6839033318023855,3.582743631232836,5.9,1.5,0,30,0.5,"(8, 6, 3)"
/home/ay/Documents/dataset/session_1775031385_ddad46/sample_00004.wav,216.98173642790047,3.4072698683670293,2.2781797980539227,2.950321307092234,2.5,15,15,0.7,"(10, 10, 5)"
/home/ay/Documents/dataset/session_1775030837_172df3/sample_00001.wav,302.547968909161,2.8048985989744404,4.009050930043905,0.13563508716137385,1.5,30,30,0.5,"(5, 5, 3)"
/home/ay/Documents/dataset/session_1775031652_8103cd/sample_00001.wav,91.7352290283455,3.007560307219883,2.408928576569621,4.9,1.5,0,15,0.7,"(5, 5, 3)"
/home/ay/Documents/dataset/session_1775031022_85c0ed/sample_00000.wav,0.42409152216554613,1.9168472287151244,4.416794720235983,2.5141879775976372,1.5,0,15,0.5,"(5, 5, 3)"
/home/ay/Documents/dataset/session_1775031986_d08322/sample_00002.wav,278.67592498615727,6.155100148721927,5.9284688725389625,0.1,2.5,15,15,0.7,"(10, 10, 5)"
/home/ay/Documents/dataset/session_1775041710_82ff6d/sample_00000.wav,288.4668834395504,3.671940459211006,5.163110930896112,0.1,1.5,0,0,0.3,"(8, 6, 3)"
/home/ay/Documents/dataset/session_1775032442_905759/sample_00004.wav,148.72723812193505,3.273184049766165,0.1,4.199151893482238,1.5,15,15,0.5,"(5, 5, 3)"
/home/ay/Documents/dataset/session_1775031840_b5384b/sample_00004.wav,126.5345178750624,2.4706007614851293,1.0292341643840943,4.485123668549631,1.5,15,15,0.7,"(5, 5, 3)"
/home/ay/Documents/dataset/session_1775041330_82f13d/sample_00000.wav,154.1367428702708,4.849528499137082,0.1,5.115484728257571,1.5,0,0,0.5,"(8, 6, 3)"
